id,ticker,stock,industry
11852b68-25b6-11ec-883c-8c859079d2ba,ABB,ABB India Ltd.,Electric Equipment
11852c82-25b6-11ec-bc9c-8c859079d2ba,AEGISCHEM,Aegis Logistics Ltd.,Logistics
11852ce6-25b6-11ec-8065-8c859079d2ba,AMARAJABAT,Amara Raja Batteries Ltd.,Batteries
11852d2c-25b6-11ec-9c33-8c859079d2ba,AMBASARABH,Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals & Drugs
11852d74-25b6-11ec-bff1-8c859079d2ba,HDFC,Housing Development Finance Corporation Ltd.,Finance - Housing
11852dae-25b6-11ec-9a98-8c859079d2ba,ANDHRAPET,Andhra Petrochemicals Ltd.,Chemicals
11852de8-25b6-11ec-97df-8c859079d2ba,ANSALAPI,Ansal Properties & Infrastructure Ltd.,Construction - Real Estate
11852e26-25b6-11ec-84b3-8c859079d2ba,APPLEIND,Utique Enterprises Ltd.,Finance - Investment
11852e6c-25b6-11ec-b3ba-8c859079d2ba,ARUNASUGAR,Aruna Hotels Ltd.,"Hotel, Resort & Restaurants"
11852ea8-25b6-11ec-9022-8c859079d2ba,BOMDYEING,Bombay Dyeing And Manufacturing Company Ltd.,Textile
11852ee4-25b6-11ec-b87a-8c859079d2ba,ASIANHOTNR,Asian Hotels (North) Ltd.,"Hotel, Resort & Restaurants"
11852f1e-25b6-11ec-8408-8c859079d2ba,ATUL,Atul Ltd.,Chemicals
11852f52-25b6-11ec-b69e-8c859079d2ba,ATVPROJ,ATV Projects India Ltd.,Engineering - Industrial Equipments
11852f8c-25b6-11ec-ba56-8c859079d2ba,AUTOLITIND,Autolite (India) Ltd.,Auto Ancillary
11852fca-25b6-11ec-9e6e-8c859079d2ba,BAJAJELEC,Bajaj Electricals Ltd.,Consumer Durables - Domestic Appliances
11853006-25b6-11ec-97f2-8c859079d2ba,BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,Sugar
11853042-25b6-11ec-a4d1-8c859079d2ba,FORCEMOT,Force Motors Ltd.,Automobiles-Trucks-Lcv
11853088-25b6-11ec-a50a-8c859079d2ba,BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
118530ba-25b6-11ec-add3-8c859079d2ba,BALRAMCHIN,Balrampur Chini Mills Ltd.,Sugar
11853100-25b6-11ec-ab66-8c859079d2ba,BANCOINDIA,Banco Products (India) Ltd.,Auto Ancillary
11853134-25b6-11ec-8e7f-8c859079d2ba,CENTURYTEX,Century Textiles & Industries Ltd.,Diversified
1185316e-25b6-11ec-ac7c-8c859079d2ba,BANARISUG,Bannari Amman Sugars Ltd.,Sugar
118531a8-25b6-11ec-aa45-8c859079d2ba,BASF,BASF India Ltd.,Pesticides & Agrochemicals
118531e6-25b6-11ec-a237-8c859079d2ba,BATAINDIA,Bata India Ltd.,Retailing
11853222-25b6-11ec-ad77-8c859079d2ba,BEML,BEML Ltd.,Engineering - Industrial Equipments
1185325e-25b6-11ec-8561-8c859079d2ba,BEL,Bharat Electronics Ltd.,Engineering - Industrial Equipments
1185329a-25b6-11ec-8df0-8c859079d2ba,BEPL,Bhansali Engineering Polymers Ltd.,Chemicals
118532d8-25b6-11ec-ba21-8c859079d2ba,TATASTLBSL,Tata Steel BSL Ltd.,Steel & Iron Products
11853312-25b6-11ec-bcc2-8c859079d2ba,BIHARSPONG,Bihar Sponge Iron Ltd.,Steel-Sponge Iron-Pig Iron
1185334c-25b6-11ec-9aa8-8c859079d2ba,BIRLACABLE,Birla Cable Ltd.,Cable
1185338a-25b6-11ec-8302-8c859079d2ba,BLUESTARCO,Blue Star Ltd.,Air Conditioners
118533c6-25b6-11ec-ac3b-8c859079d2ba,GEORGFISCH,Disa India Ltd.,Engineering - Industrial Equipments
11853402-25b6-11ec-9408-8c859079d2ba,500069,BNK Capital Markets Ltd.,Finance - NBFC
1185343e-25b6-11ec-88ec-8c859079d2ba,BPL,BPL Ltd.,Electronics - Components
1185347a-25b6-11ec-91c4-8c859079d2ba,OAL,Oriental Aromatics Ltd.,Chemicals
118534b6-25b6-11ec-93ff-8c859079d2ba,CENTEXT,Century Extrusions Ltd.,Aluminium & Aluminium Products
118534f4-25b6-11ec-8ac7-8c859079d2ba,CESC,CESC Ltd.,Power Generation-Distribution
1185352e-25b6-11ec-972c-8c859079d2ba,CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,Fertilizers
11853568-25b6-11ec-af2a-8c859079d2ba,EXIDEIND,Exide Industries Ltd.,Batteries
118535a6-25b6-11ec-ac8d-8c859079d2ba,CIPLA,Cipla Ltd.,Pharmaceuticals & Drugs
118535e2-25b6-11ec-9ad7-8c859079d2ba,DICIND,DIC India Ltd.,Chemicals
1185361e-25b6-11ec-88da-8c859079d2ba,CRISIL,CRISIL Ltd.,Ratings
1185365a-25b6-11ec-9796-8c859079d2ba,CGPOWER,CG Power and Industrial Solutions Ltd.,Electric Equipment
11853698-25b6-11ec-80da-8c859079d2ba,DABUR,Dabur India Ltd.,Household & Personal Products
118536d2-25b6-11ec-9d98-8c859079d2ba,DALMIASUG,Dalmia Bharat Sugar And Industries Ltd.,Sugar
1185370c-25b6-11ec-8844-8c859079d2ba,ARVIND,Arvind Ltd.,Textile
1185374a-25b6-11ec-8496-8c859079d2ba,BALLARPUR,Ballarpur Industries Ltd.,Paper & Paper Products
11853786-25b6-11ec-9fdb-8c859079d2ba,BHEL,Bharat Heavy Electricals Ltd.,Engineering - Industrial Equipments
118537b8-25b6-11ec-9f39-8c859079d2ba,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Refineries
118537f4-25b6-11ec-95da-8c859079d2ba,IFCI,IFCI Ltd.,Finance Term Lending
11853830-25b6-11ec-abb5-8c859079d2ba,MTNL,Mahanagar Telephone Nigam Ltd.,Telecommunication - Service  Provider
1185386c-25b6-11ec-b003-8c859079d2ba,MRPL,Mangalore Refinery And Petrochemicals Ltd.,Refineries
118538a8-25b6-11ec-93fd-8c859079d2ba,CHENNPETRO,Chennai Petroleum Corporation Ltd.,Refineries
118538e4-25b6-11ec-ba94-8c859079d2ba,RELCAPITAL,Reliance Capital Ltd.,Finance - NBFC
1185391e-25b6-11ec-83e9-8c859079d2ba,SBIN,State Bank Of India,Bank - Public
1185395c-25b6-11ec-8235-8c859079d2ba,SAIL,Steel Authority Of India Ltd.,Steel & Iron Products
1185398c-25b6-11ec-aca0-8c859079d2ba,TITAN,Titan Company Ltd.,Diamond  &  Jewellery
118539ca-25b6-11ec-8a9f-8c859079d2ba,IDBI,IDBI Bank Ltd.,Bank - Private
11853a06-25b6-11ec-800b-8c859079d2ba,DCW,DCW Ltd.,Chemicals
